YEAR,TOPONIMIA,TIPO,VAL
2020,Barahona,II,0
2020,Dajabón,II,0
2020,Distrito Nacional,II,1
2020,Duarte,II,0
2020,El Seibo,II,0
2020,Elías Piña,II,0
2020,Espaillat,II,1
2020,Hato Mayor,II,0
2020,Hermanas Mirabal,II,0
2020,Independencia,II,0
2020,La Altagracia,II,1
2020,La Romana,II,0
2020,La Vega,II,3
2020,María Trinidad Sánchez,II,0
2020,Monseñor Nouel,II,0
2020,Monte Cristi,II,0
2020,Monte Plata,II,0
2020,Pedernales,II,0
2020,Peravia,II,0
2020,Puerto Plata,II,0
2020,Samaná,II,0
2020,San Cristóbal,II,2
2020,San José de Ocoa,II,1
2020,San Juan,II,2
2020,San Pedro de Macorís,II,1
2020,Sánchez Ramírez,II,0
2020,Santiago,II,0
2020,Santiago Rodríguez,II,0
2020,Santo Domingo,II,5
2020,Valverde,II,0
2020,Azua,III,1
2020,Baoruco,III,0
2020,Barahona,III,0
2020,Dajabón,III,0
2020,Distrito Nacional,III,1
2020,Duarte,III,1
2020,El Seibo,III,0
2020,Elías Piña,III,0
2020,Espaillat,III,0
2020,Hato Mayor,III,0
2020,Hermanas Mirabal,III,2
2020,Independencia,III,0
2020,La Altagracia,III,0
2020,La Romana,III,0
2020,La Vega,III,0
2020,María Trinidad Sánchez,III,1
2020,Monseñor Nouel,III,0
2020,Monte Cristi,III,0
2020,Monte Plata,III,1
2020,Pedernales,III,0
2020,Peravia,III,0
2020,Puerto Plata,III,0
2020,Samaná,III,0
2020,San Cristóbal,III,0
2020,San José de Ocoa,III,0
2020,San Juan,III,0
2020,San Pedro de Macorís,III,0
2020,Sánchez Ramírez,III,0
2020,Santiago,III,0
2020,Santiago Rodríguez,III,0
2020,Santo Domingo,III,4
2020,Valverde,III,0
2020,Azua,IV,1
2020,Baoruco,IV,0
2020,Barahona,IV,0
2020,Dajabón,IV,0
2020,Distrito Nacional,IV,0
2020,Duarte,IV,1
2020,El Seibo,IV,0
2020,Elías Piña,IV,0
2020,Espaillat,IV,0
2020,Hato Mayor,IV,0
2020,Hermanas Mirabal,IV,1
2020,Independencia,IV,0
2020,La Altagracia,IV,0
2020,La Romana,IV,0
2020,La Vega,IV,0
2020,María Trinidad Sánchez,IV,0
2020,Monseñor Nouel,IV,0
2020,Monte Cristi,IV,0
2020,Monte Plata,IV,0
2020,Pedernales,IV,0
2020,Peravia,IV,0
2020,Puerto Plata,IV,0
2020,Samaná,IV,0
2020,San Cristóbal,IV,0
2020,San José de Ocoa,IV,0
2020,San Juan,IV,0
2020,San Pedro de Macorís,IV,0
2020,Sánchez Ramírez,IV,0
2020,Santiago,IV,0
2020,Santiago Rodríguez,IV,0
2020,Santo Domingo,IV,1
2020,Valverde,IV,0
2020,Azua,9,22
2020,Baoruco,9,6
2020,Barahona,9,27
2020,Dajabón,9,7
2020,Distrito Nacional,9,209
2020,Duarte,9,24
2020,El Seibo,9,16
2020,Elías Piña,9,15
2020,Espaillat,9,12
2020,Hato Mayor,9,13
2020,Hermanas Mirabal,9,16
2020,Independencia,9,2
2020,La Altagracia,9,16
2020,La Romana,9,7
2020,La Vega,9,26
2020,María Trinidad Sánchez,9,14
2020,Monseñor Nouel,9,12
2020,Monte Cristi,9,7
2020,Monte Plata,9,30
2020,Pedernales,9,2
2020,Peravia,9,23
2020,Puerto Plata,9,20
2020,Samaná,9,6
2020,San Cristóbal,9,58
2020,San José de Ocoa,9,12
2020,San Juan,9,66
2020,San Pedro de Macorís,9,17
2020,Sánchez Ramírez,9,25
2020,Santiago,9,13
2020,Santiago Rodríguez,9,3
2020,Santo Domingo,9,204
2020,Valverde,9,2
2021,Azua,I,0
2021,Baoruco,I,0
2021,Barahona,I,0
2021,Dajabón,I,0
2021,Distrito Nacional,I,0
2021,Duarte,I,0
2021,El Seibo,I,0
2021,Elías Piña,I,0
2021,Espaillat,I,0
2021,Hato Mayor,I,0
2021,Hermanas Mirabal,I,0
2021,Independencia,I,0
2021,La Altagracia,I,0
2021,La Romana,I,0
2021,La Vega,I,0
2021,María Trinidad Sánchez,I,0
2021,Monseñor Nouel,I,0
2021,Monte Cristi,I,0
2021,Monte Plata,I,0
2021,Pedernales,I,0
2021,Peravia,I,0
2021,Puerto Plata,I,0
2021,Samaná,I,0
2021,San Cristóbal,I,0
2021,San José de Ocoa,I,0
2021,San Juan,I,0
2021,San Pedro de Macorís,I,0
2021,Sánchez Ramírez,I,0
2021,Santiago,I,0
2021,Santiago Rodríguez,I,0
2021,Santo Domingo,I,0
2021,Valverde,I,0
2021,Azua,II,1
2021,Baoruco,II,1
2021,Barahona,II,0
2021,Dajabón,II,0
2021,Distrito Nacional,II,3
2021,Duarte,II,1
2021,El Seibo,II,2
2021,Elías Piña,II,0
2021,Espaillat,II,0
2021,Hato Mayor,II,0
2021,Hermanas Mirabal,II,0
2021,Independencia,II,1
2021,La Altagracia,II,1
2021,La Romana,II,0
2021,La Vega,II,0
2021,María Trinidad Sánchez,II,0
2021,Monseñor Nouel,II,1
2021,Monte Cristi,II,0
2021,Monte Plata,II,1
2021,Pedernales,II,0
2021,Peravia,II,0
2021,Puerto Plata,II,1
2021,Samaná,II,0
2021,San Cristóbal,II,0
2021,San José de Ocoa,II,0
2021,San Juan,II,1
2021,San Pedro de Macorís,II,1
2021,Sánchez Ramírez,II,0
2021,Santiago,II,0
2021,Santiago Rodríguez,II,0
2021,Santo Domingo,II,4
2021,Valverde,II,0
2021,Azua,III,0
2021,Baoruco,III,1
2021,Barahona,III,2
2021,Dajabón,III,0
2021,Distrito Nacional,III,0
2021,Duarte,III,0
2021,El Seibo,III,0
2021,Elías Piña,III,0
2021,Espaillat,III,1
2021,Hato Mayor,III,0
2021,Hermanas Mirabal,III,0
2021,Independencia,III,0
2021,La Altagracia,III,0
2021,La Romana,III,0
2021,La Vega,III,0
2021,María Trinidad Sánchez,III,1
2021,Monseñor Nouel,III,0
2021,Monte Cristi,III,0
2021,Monte Plata,III,0
2021,Pedernales,III,0
2021,Peravia,III,0
2021,Puerto Plata,III,0
2021,Samaná,III,1
2021,San Cristóbal,III,0
2021,San José de Ocoa,III,0
2021,San Juan,III,1
2021,San Pedro de Macorís,III,0
2021,Sánchez Ramírez,III,2
2021,Santiago,III,0
2021,Santiago Rodríguez,III,0
2021,Santo Domingo,III,3
2021,Valverde,III,0
2021,Azua,IV,0
2021,Baoruco,IV,0
2021,Barahona,IV,0
2021,Dajabón,IV,0
2021,Distrito Nacional,IV,1
2021,Duarte,IV,0
2021,El Seibo,IV,0
2021,Elías Piña,IV,0
2021,Espaillat,IV,0
2021,Hato Mayor,IV,0
2021,Hermanas Mirabal,IV,0
2021,Independencia,IV,0
2021,La Altagracia,IV,0
2021,La Romana,IV,0
2021,La Vega,IV,0
2021,María Trinidad Sánchez,IV,0
2021,Monseñor Nouel,IV,0
2021,Monte Cristi,IV,0
2021,Monte Plata,IV,0
2021,Pedernales,IV,0
2021,Peravia,IV,0
2021,Puerto Plata,IV,0
2021,Samaná,IV,1
2021,San Cristóbal,IV,0
2021,San José de Ocoa,IV,0
2021,San Juan,IV,0
2021,San Pedro de Macorís,IV,0
2021,Sánchez Ramírez,IV,1
2021,Santiago,IV,0
2021,Santiago Rodríguez,IV,0
2021,Santo Domingo,IV,0
2021,Valverde,IV,0
2021,Azua,9,23
2021,Baoruco,9,6
2021,Barahona,9,20
2021,Dajabón,9,6
2021,Distrito Nacional,9,286
2021,Duarte,9,19
2021,El Seibo,9,9
2021,Elías Piña,9,11
2021,Espaillat,9,7
2021,Hato Mayor,9,9
2021,Hermanas Mirabal,9,3
2021,Independencia,9,3
2021,La Altagracia,9,14
2021,La Romana,9,6
2021,La Vega,9,11
2021,María Trinidad Sánchez,9,13
2021,Monseñor Nouel,9,9
2021,Monte Cristi,9,5
2021,Monte Plata,9,20
2021,Pedernales,9,2
2021,Peravia,9,8
2021,Puerto Plata,9,9
2021,Samaná,9,5
2021,San Cristóbal,9,50
2021,San José de Ocoa,9,8
2021,San Juan,9,38
2021,San Pedro de Macorís,9,17
2021,Sánchez Ramírez,9,13
2021,Santiago,9,14
2021,Santiago Rodríguez,9,2
2021,Santo Domingo,9,133
