YEAR,TOPONIMIA,SEXO,CASOS
2017,Dajabón,hombre,4
2017,Duarte,hombre,14
2017,El Seibo,hombre,4
2017,Elías Piña,hombre,8
2017,Espaillat,hombre,14
2017,Hato Mayor,hombre,9
2017,Hermanas Mirabal,hombre,8
2017,Independencia,hombre,3
2017,La Altagracia,hombre,15
2017,La Romana,hombre,5
2017,La Vega,hombre,17
2017,María Trinidad Sánchez,hombre,9
2017,Monseñor Nouel,hombre,12
2017,Monte Cristi,hombre,4
2017,Monte Plata,hombre,18
2017,Peravia,hombre,13
2017,Puerto Plata,hombre,12
2017,Samaná,hombre,6
2017,San Cristóbal,hombre,40
2017,San Juan,hombre,36
2017,San José de Ocoa,hombre,10
2017,San Pedro de Macorís,hombre,22
2017,Santiago,hombre,16
2017,Santiago Rodríguez,hombre,5
2017,Sánchez Ramírez,hombre,13
2017,Valverde,hombre,3
2017,Santo Domingo,hombre,77
2017,Distrito Nacional,mujer,72
2017,Azua,mujer,21
2017,Bahoruco,mujer,13
2017,Barahona,mujer,30
2017,Dajabón,mujer,5
2017,Duarte,mujer,41
2017,El Seibo,mujer,8
2017,Elías Piña,mujer,9
2017,Espaillat,mujer,23
2017,Hato Mayor,mujer,14
2017,Hermanas Mirabal,mujer,8
2017,Independencia,mujer,10
2017,La Altagracia,mujer,9
2017,La Romana,mujer,13
2017,La Vega,mujer,30
2017,María Trinidad Sánchez,mujer,10
2017,Monseñor Nouel,mujer,13
2017,Monte Cristi,mujer,10
2017,Monte Plata,mujer,29
2017,Peravia,mujer,26
2017,Puerto Plata,mujer,20
2017,Samaná,mujer,11
2017,San Cristóbal,mujer,56
2017,San Juan,mujer,58
2017,San José de Ocoa,mujer,13
2017,San Pedro de Macorís,mujer,31
2017,Santiago,mujer,17
2017,Santiago Rodríguez,mujer,6
2017,Sánchez Ramírez,mujer,20
2017,Valverde,mujer,1
2017,Santo Domingo,mujer,134
2018,Distrito Nacional,hombre,47
2018,Azua,hombre,8
2018,Barahona,hombre,7
2018,Dajabón,hombre,1
2018,Duarte,hombre,5
2018,Elías Piña,hombre,2
2018,El Seibo,hombre,3
2018,Espaillat,hombre,3
2018,Independencia,hombre,1
2018,La Altagracia,hombre,4
2018,La Romana,hombre,5
2018,La Vega,hombre,7
2018,María Trinidad Sánchez,hombre,5
2018,Monte Cristi,hombre,0
2018,Pedernales,hombre,2
2018,Peravia,hombre,11
2018,Puerto Plata,hombre,4
2018,Hermanas Mirabal,hombre,1
2018,Samaná,hombre,5
2018,San Cristóbal,hombre,24
2018,San Juan,hombre,6
2018,San Pedro de Macorís,hombre,7
2018,Sánchez Ramírez,hombre,8
2018,Santiago,hombre,6
2018,Santiago Rodríguez,hombre,3
2018,Valverde,hombre,3
2018,Monseñor Nouel,hombre,8
2018,Monte Plata,hombre,15
2018,Hato Mayor,hombre,2
2018,San José de Ocoa,hombre,2
2018,Santo Domingo,hombre,359
2018,Distrito Nacional,mujer,87
2018,Azua,mujer,17
2018,Barahona,mujer,12
2018,Dajabón,mujer,1
2018,Duarte,mujer,9
2018,Elías Piña,mujer,2
2018,El Seibo,mujer,3
2018,Espaillat,mujer,3
2018,Independencia,mujer,5
2018,La Altagracia,mujer,13
2018,La Romana,mujer,11
2018,La Vega,mujer,12
2018,María Trinidad Sánchez,mujer,4
2018,Monte Cristi,mujer,2
2018,Pedernales,mujer,1
2018,Peravia,mujer,13
2018,Puerto Plata,mujer,0
2018,Hermanas Mirabal,mujer,0
2018,Samaná,mujer,8
2018,San Cristóbal,mujer,33
2018,San Juan,mujer,21
2018,San Pedro de Macorís,mujer,29
2018,Sánchez Ramírez,mujer,11
2018,Santiago,mujer,3
2018,Santiago Rodríguez,mujer,1
2018,Valverde,mujer,0
2018,Monseñor Nouel,mujer,6
2018,Monte Plata,mujer,8
2018,Hato Mayor,mujer,1
2018,San José de Ocoa,mujer,3
2018,Santo Domingo,mujer,554
